matter_env_seq,ca1_time,ca2_endpoint,ca3_species,ca4_value1,ca5_value2,ca6_value3,ca7_value4,ca8_value5,ca9_unit,ca10_tg,ca11_glp,ca12_ref,ca13_other,cb1_time,cb2_endpoint,cb3_species,cb4_value1,cb5_value2,cb6_value3,cb7_value4,cb8_value5,cb9_unit,cb10_tg,cb11_glp,cb12_ref,cb13_other,cc1_time,cc2_endpoint,cc3_species,cc4_value1,cc5_value2,cc6_value3,cc7_value4,cc8_value5,cc9_unit,cc10_tg,cc11_glp,cc12_ref,cc13_other,cd1_time,cd2_endpoint,cd3_species,cd4_value1,cd5_value2,cd6_value3,cd7_value4,cd8_value5,ca9_unit,cd10_tg,cd11_glp,cd12_ref,cd13_other,ce1_time,ce2_endpoint,ce3_species,ce4_value1,ce5_value2,ce6_value3,ce7_value4,ce8_value5,ce9_unit,ce10_tg,ce11_glp,ce12_ref,ce13_other,cf1_time,cf2_endpoint,cf3_species,cf4_value1,cf5_value2,cf6_value3,cf7_value4,cf8_value5,cf9_unit,cf10_tg,cf11_glp,cf12_ref,cf13_other,cg1_time,cg2_endpoint,cg3_species,cg4_value1,cg5_value2,cg6_value3,cg7_value4,cg8_value5,cg9_unit,cg10_tg,cg11_glp,cg12_ref,cg13_other,ch1_time,ch2_endpoint,ch3_species,ch4_value1,ch5_value2,ch6_value3,ch7_value4,ch8_value5,ch9_unit,"ch10_tg""",ch11_glp,ch12_ref,ch13_other,ch1_persistence,cj1_data,cj2_time,cj3_degrade,cj4_ref,cj5_other,ck1_value1,ck2_value2,ck3_value3,ck4_value4,ck5_value5,ck6_ref,ck6_other,cl1_value1,cl2_value2,cl3_value3,cl4_value4,cl5_value5,cl6_ref,cl6_other,cm1_data,cm2_ref,cm3_other,division_C1,division_C2,division_C3,matter_data_key
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,자료없음,구분1,67762-92-9#1
12,96 hr,LC50,,999.322,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,477.044,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Neutral organics,96 hr,EC50,,138.811,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052,,난분해성,EPI Suite,(BIOWIN2),3.162,,,,,EPI Suite,,8.022,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,자료없음,57018-52-7#1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,자료없음,자료없음,65996-91-0#1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.99,,,,,EPI Suite,,6588,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,53880-51-6#1
15,96 hr,LC50,,0.473,,,,,㎎/ℓ,,,NCIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,NCIS,,420,,,,,,,,,,구분1,자료없음,구분1,2595-54-2#1
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,난분해성,EPI Suite,(BIOWIN2),168,,,,,EPI Suite,,13530,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,68551-12-2#1
17,96 hr,LC50,Lepomis macrochirus,0.082,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/hazkizon/pk_e_kizon_input_second.home_object),,,,781,,1610,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/hazkizon/pk_e_kizon_input_second.home_object),생물 농축 가능성 있음,4506,,,,,EPI Suite,토양에 흡착될 수 있음,,,,해당없음,자료없음,자료없음,14816-18-3#1
18,96 hr,LC50,,2.989,,,,,㎎/ℓ,,,,,48 hr,LC50,,19.922,,,,,㎎/ℓ,,,,ECOSAR Class : Halopyrdines-acid,96 hr,EC50,,160.758,,,,,㎎/ℓ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5469,,난분해성,EPI Suite,(BIOWIN1),3.162,,,,,EPI Suite,,1.75,,,,,EPI Suite,,,,,해당없음,자료없음,구분1,74011-58-8#1
19,96 hr,LC50,,3.555,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,3.123,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162,,,,,EPI Suite,,501.3,,,,,EPI Suite,,,,,해당없음,자료없음,자료없음,61788-47-4#1
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8022,,빠르게생분해됨,EPI Suite,(BIOWIN4),17.69,,,,,EPI Suite,,7290000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,자료없음,자료없음,68424-31-7#1
