matter_env_seq,ca1_time,ca2_endpoint,ca3_species,ca4_value1,ca5_value2,ca6_value3,ca7_value4,ca8_value5,ca9_unit,ca10_tg,ca11_glp,ca12_ref,ca13_other,cb1_time,cb2_endpoint,cb3_species,cb4_value1,cb5_value2,cb6_value3,cb7_value4,cb8_value5,cb9_unit,cb10_tg,cb11_glp,cb12_ref,cb13_other,cc1_time,cc2_endpoint,cc3_species,cc4_value1,cc5_value2,cc6_value3,cc7_value4,cc8_value5,cc9_unit,cc10_tg,cc11_glp,cc12_ref,cc13_other,cd1_time,cd2_endpoint,cd3_species,cd4_value1,cd5_value2,cd6_value3,cd7_value4,cd8_value5,ca9_unit,cd10_tg,cd11_glp,cd12_ref,cd13_other,ce1_time,ce2_endpoint,ce3_species,ce4_value1,ce5_value2,ce6_value3,ce7_value4,ce8_value5,ce9_unit,ce10_tg,ce11_glp,ce12_ref,ce13_other,cf1_time,cf2_endpoint,cf3_species,cf4_value1,cf5_value2,cf6_value3,cf7_value4,cf8_value5,cf9_unit,cf10_tg,cf11_glp,cf12_ref,cf13_other,cg1_time,cg2_endpoint,cg3_species,cg4_value1,cg5_value2,cg6_value3,cg7_value4,cg8_value5,cg9_unit,cg10_tg,cg11_glp,cg12_ref,cg13_other,ch1_time,ch2_endpoint,ch3_species,ch4_value1,ch5_value2,ch6_value3,ch7_value4,ch8_value5,ch9_unit,"ch10_tg""",ch11_glp,ch12_ref,ch13_other,ch1_persistence,cj1_data,cj2_time,cj3_degrade,cj4_ref,cj5_other,ck1_value1,ck2_value2,ck3_value3,ck4_value4,ck5_value5,ck6_ref,ck6_other,cl1_value1,cl2_value2,cl3_value3,cl4_value4,cl5_value5,cl6_ref,cl6_other,cm1_data,cm2_ref,cm3_other,division_C1,division_C2,division_C3,matter_data_key
31,96 hr,LC50,Lepomis macrochirus,,100,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,48 hr,LC50,Daphnia magna,30.8,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,96 hr,EC50,,74.906,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162,,,,,EPI Suite,,22.2,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,구분1,10004-44-1#1
32,,,,,,,,,,,,,,48 hr,LC50,Daphnia magna,0.0033,,,,,㎎/ℓ,,,NITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,,,,,HSDB,,,,,해당없음,자료없음,자료없음,31218-83-4#1
33,,,,,,,,,,,,,,,,,제2016-2호에,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,자료없음,자료없음,19783-14-3#1
34,96 hr,LC50,,315.067,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,33.836,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Thiols and Mercaptans-acid,96 hr,EC50,,10.066,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3106,,난분해성,EPI Suite,(BIOWIN6),3.162,,,,,EPI Suite,,1.979,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,해당없음,자료없음,해당없음,62571-86-2#1
35,,,,,,,,,,,,NCIS 화학물질정보시스템,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분2,구분1,15829-53-5#1
36,96 hr,LC50,,147.016,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,81.584,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,96 hr,EC50,Scenedesmus subspicatus,31,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,National Institute of Technology and Evaluation(NITE),,,,0.8,,3,National Institute of Technology and Evaluation(NITE),시험농도: 0.05ppm ; Low bioconcentration,210.4,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,구분2,구분1,100-17-4#1
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0919,,난분해성,EPI Suite,(BIOWIN5),180.9,,,,,EPI Suite,,6643000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,구분1,68610-51-5#1
38,96 hr,LC50,,0.721,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,0.604,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,96 hr,EC50,,0.915,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0567,,난분해성,EPI Suite,(BIOWIN6),25.69,,,,,EPI Suite,,11290,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,자료없음,자료없음,68511-50-2#1
39,96 hr,LC50,Leuciscus idus,,,460,,1000,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,48 hr,EC50,Daphnia magna,34,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,96 hr,EC50,Scenedesmus subspicatus,73.3,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90~100,10 day,생분해가 잘되므로 생체 내 축적될 잠재성이 낮음,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,8.524,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,자료없음,68153-01-5#1
40,96 hr,LC50,,10.124,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,6.649,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,96 hr,EC50,,4.940,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3821,,난분해성,EPI Suite,(BIOWIN5),55.64,,,,,EPI Suite,,541.4,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,자료없음,68603-08-7#1
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,구분1,구분1,64742-69-4#1
42,,,,,,,,,,,,,,48 hr,LC50,,46.556,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,96 hr,EC50,,16.474,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.265,,,,,EPI Suite,,37.2,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,구분3,자료없음,68410-63-9#1
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분4,자료없음,37211-05-5#1
44,,,,,,,,,,,,,,,,,,,,,,,,,,,96 hr,EC50,,34737.035,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0514,,난분해성,EPI Suite,(BIOWIN6),3.162,,,,,EPI Suite,,0.00003955,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,해당없음,자료없음,65-31-6#1
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분2,자료없음,37340-60-6#1
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,Hazardous Substances Data Bank(HSDB),OECD TG 301B,,,6600,,11000,Hazardous Substances Data Bank(HSDB),생물 농축 가능성 있음,53180,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,자료없음,해당없음,40088-47-9#1
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162,,,,,EPI Suite,,1.199E+13,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,해당없음,구분1,64742-43-4#1
48,96 hr,LC50,Oncorhynchus mykiss,,10,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,48 hr,LC50,Daphnia magna,,10,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,96 hr,EC50,Scenedesmus subspicatus,,10,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,European chemical Substances Information System_(http://ecb.jrc.it/esis),OECD TG,10.55,,,,,EPI Suite,,723.3,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,구분4,구분1,38051-10-4#1
49,96 hr,LC50,Esters(phosphate),0.037,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,Daphnia magna,0.3,,,,,㎎/ℓ,,,The ECOTOXicology database(http://cfpub.epa.gov/ECOTOX/quick_query.htm),,96 hr,EC50,,0.035,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0869,,난분해성,EPI Suite,(BIOWIN5),1096,,,,,"The ECOTOXicology database, Hazardous Substances Data Bank(HSDB)",생물 농축 가능성 있음,22650,,,,,EPI Suite,토양에 흡착될 수 있음,,,,해당없음,구분4,구분1,56803-37-3#1
50,96 hr,LC50,Sheepshead minnow,4.6,,,,,㎎/ℓ,,,,,,,,,,,,,,,,ECHA,,72 hr,EL50,Scenedesmus subspicatus,21,,,,,㎎/ℓ,95% CL: 20-22 mg / CAS No.: 84605-29-8,,ECHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,28 day,"CO2, 이분해성",,,,,,,,,,,,,,,,,,,,해당없음,구분4,구분1,68457-79-4#1
51,96 hr,LC50,Oncorhynchus mykiss,0.59,,,,,㎎/ℓ,,,Environmental Health Criteria (EHC) Monographs(http://www.inchem.org/),,48 hr,LC50,Daphnia magna,0.023,,,,,㎎/ℓ,,,Environmental Health Criteria (EHC) Monographs(http://www.inchem.org/),,96 hr,EC50,Scenedesmus subspicatus,22,,,,,㎎/ℓ,,,Environmental Health Criteria (EHC) Monographs(http://www.inchem.org/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1618,,난분해성,EPI Suite,(BIOWIN6),,,,,,Hazardous Substances Data Bank(HSDB),,39.14,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,해당없음,구분4,구분1,919-86-8#1
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,구분4,자료없음,32612-48-9#1
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0565,,난분해성,EPI Suite,(BIOWIN6),70.79,,,,,EPI Suite,,5.088,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,구분1,자료없음,자료없음,68607-29-4#1
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CO2, 이분해성",,,3.162,,,,,EPI Suite,,3.228E+15,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,구분3,구분1,64741-56-6#1
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2503,,난분해성,EPI Suite,(BIOWIN6),1465,,,,,EPI Suite,생물 농축 가능성 있음,929.4,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,자료없음,자료없음,65997-13-9#1
56,96 hr,LC50,Brachydanio rerio,,,5,,10,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,48 hr,EC50,Daphnia magna,76,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,96 hr,EC50,Selenastrum capricornutum,,,18,,20,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,28 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음.,European chemical Substances Information System_(http://ecb.jrc.it/esis),,56.23,,,,,EPI Suite,,41.83,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,구분1,자료없음,61790-51-0#1
57,,,,,,,,,,,,,,48 hr,EC50,Daphnia magna,,100,,,,㎎/ℓ,,,ECHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분3,자료없음,7488-56-4#1
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,구분4,자료없음,68476-96-0#1
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,해당없음,자료없음,68513-95-1#1
60,96 hr,LC50,Brachydanio rerio,0.1,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,48 hr,LC50,Daphnia magna,0.13,,,,,㎎/ℓ,,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,28 day,,European chemical Substances Information System_(http://ecb.jrc.it/esis),,3.162,,,,,EPI Suite,,5330000000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,구분2,자료없음,61791-55-7#1
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6531,,난분해성,EPI Suite,(BIOWIN5),3.162,,,,,EPI Suite,,4.291E+23,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,구분1,38613-77-3#1
62,96 hr,LC50,,0.085,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,0.112,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Phenols ; 물벼룩,96 hr,EC50,,0.278,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1719,,난분해성,EPI Suite,(BIOWIN7),83.2,,,,,EPI Suite,,13620,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,27193-28-8#1
63,96 hr,LC50,Pimephales promelas,,50000,,,,㎎/ℓ,,,OECD Screening Information Data Set(http://cs3-hq.oecd.org/scripts/hpv/),,48 hr,LC50,Daphnia magna,,20000,,,,㎎/ℓ,,,OECD Screening Information Data Set(http://cs3-hq.oecd.org/scripts/hpv/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,20 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,OECD Screening Information Data Set(SIDS),,3.162,,,,,OECD Screening Information Data Set(SIDS),,0.02935,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,구분1,구분4,자료없음,4792-15-8#1
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8399,,빠르게생분해됨,EPI Suite,(BIOWIN4),70.79,,,,,EPI Suite,,26.26,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,자료없음,구분4,해당없음,38916-42-6#1
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,구분4,구분1,7791-12-0#1
66,,,,,,,,,,,,,,48 hr,LC50,Daphnia magna,,,0.035,,0.57,㎎/ℓ,,,NICNAS; 유독물질 정보보고서,,96 hr,EC50,Skeletonema costatum,7930,,,,,㎎/ℓ,유사물질: 셀레늄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NICNAS; 유독물질 정보보고서,"생물농축있음, 유사물질: 셀레늄",,,,,,,,,,,자료없음,구분4,자료없음,12039-52-0#1
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분4,자료없음,7789-67-5#1
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분3,자료없음,7757-87-1#1
69,96 hr,LC50,,24.335,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,15.259,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class :Neutral organics,96 hr,EC50,,9.893,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1993,,난분해성,EPI Suite,(BIOWIN6),35.27,,,,,EPI Suite,,273.1,,,,,EPI Suite,토양으로의 흡착가능성이 낮음,,,,구분1,자료없음,구분1,609-72-3#1
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0128,,난분해성,EPI Suite,(BIOWIN5),128.1,,,,,EPI Suite,,18730000,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,자료없음,자료없음,68515-88-8#1
71,96 hr,LC50,,1.059,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,0.835,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Neutral organics,96 hr,EC50,,1.062,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3302,,난분해성,EPI Suite,(BIOWIN6),394.9,,,,,EPI Suite,,7130,,,,,EPI Suite,토양에 흡착될 수 있음,,,,자료없음,구분1,자료없음,9005-90-7#1
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,구분3,구분1,9002-13-5#1
73,96 hr,LC50,,11.399,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,48 hr,LC50,,0.260,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),ECOSAR Class : Carbamate Esters,96 hr,EC50,,23.526,,,,,㎎/ℓ,,,Ecological Structure Activity Relationships(ECOSAR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/sougou/pkc_e_search_frm.html),,,,0.8,,2.5,National Institute of Technology and Evaluation(http://www.safe.nite.go.jp/data/sougou/pkc_e_search_frm.html),시험농도: 500ppb,115.5,,,,,EPI Suite,토양에 흡착될 수 있음,,,,구분1,구분4,자료없음,2655-14-3#1
74,,,,,,,,,,,,,,48 hr,LC50,Daphnia magna,,100,,,,㎎/ℓ,,,OECD Screening Information Data Set(http://cs3-hq.oecd.org/scripts/hpv/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,해당없음,자료없음,68989-23-1#1
75,96 hr,LC50,Fishes species,,,7.28,,64,㎎/ℓ,,,GESTIS,중앙값: 18.8 ㎎/ℓ,48 hr,LC50,Crustaceans,4.77,,,,,㎎/ℓ,,,GESTIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,구분1,구분2,구분1,7631-89-2#1
76,96 hr,LC50,Lepomis macrochirus,0.47,,,,,㎎/ℓ,,,HSDB,,48 hr,EC50,Daphnia magna,0.0292,,,,,㎎/ℓ,,,HSDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,28 day,생분해가 되지 않아 생체 내 축적될 잠재성이 높음,HSDB,,6,,,,,HSDB,,,,28,,40,HSDS,,,,,구분1,자료없음,자료없음,22781-23-3#1
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,자료없음,자료없음,자료없음,117-52-2#1
78,96 hr,LC50,Leuciscus idus,,,220,,460,㎎/ℓ,,,ECHA,"German Industrial Standard test Guideline DIN 38412, part 15",,,,,,,,,,,,,,72 hr,ErC50,Desmodesmus subspicatus,,100,,,,㎎/ℓ,"Guideline 201, GLP",,ECHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,28 day,이분해성,ECHA,"OECD Guideline 301 B, GLP",2,,,,,ECHA,"(at Value : <0.5) (OECD Guideline 305 C, 유사물질 CAS no.112-24-3)",3090,,,,,ECHA,,,,,구분1,자료없음,자료없음,10563-26-5#1
79,96 hr,LC50,,0.301,,,,,㎎/ℓ,,,ECOSAR,,48 hr,LC50,,0.314,,,,,㎎/ℓ,,,ECOSAR,,96 hr,EC50,,1.812,,,,,㎎/ℓ,,,ECOSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,HSDB,,4150,,,,,HSDB,,,,,자료없음,구분4,구분1,131-89-5#1
80,96 hr,LC50,,56.091,,,,,㎎/ℓ,,,ECOSAR,,48 hr,LC50,,33.167,,,,,㎎/ℓ,,,ECOSAR,,96 hr,EC50,,1.018,,,,,㎎/ℓ,,,ECOSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해당없음,구분4,자료없음,115-93-5#1
81,96 hr,LC50,Gammarus fasciatus.(공업용 98%)/ Pimephales promelas(Fathead minnow),0.012/  0.075,,,,,㎎/ℓ,,,NCIS,,48 hr,EC50,Daphnia magna,,,0.01,,0.1,㎎/ℓ,,,HSDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,14 day,"6d, 50% 분해",HSDB,,,,3.8,,4.8,HSDB,,,,2.01,,2.32,HSDB,,,,,해당없음,구분4,자료없음,2032-59-9#1
